company,href,id,name,location.city,location.country,location.latitude,location.longitude,source,gbfs_href,license.name,license.url,ebikes
['Nextbike GmbH'],/v2/networks/nextbike-ostrava-hlucin,nextbike-ostrava-hlucin,nextbike Ostrava,Hlučín,CZ,49.898,18.1923,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-ostrava-vresina,nextbike-ostrava-vresina,nextbike Ostrava,Vřesina,CZ,49.825,18.1206,,,,,
['Nextbike GmbH'],/v2/networks/ibizi-ibiza-city,ibizi-ibiza-city,ibizi,Ibiza-City,ES,38.9066,1.42046,,,,,
['Nextbike GmbH'],/v2/networks/sprintrad,sprintrad,sprintRAD,Hannover,DE,52.3721,9.73569,,,,,
['Nextbike GmbH'],/v2/networks/komornicki-system-rowerowy-komorniki,komornicki-system-rowerowy-komorniki,Komornicki System Rowerowy Poland,Komorniki,PL,52.3347,16.8094,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-havirov,nextbike-havirov,nextbike Havířov,Havířov,CZ,49.7799,18.4328,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-berounsko,nextbike-berounsko,nextbike Berounsko,Berounsko,CZ,49.9616,14.064,,,,,
['Nextbike GmbH'],/v2/networks/ready4green-graben,ready4green-graben,Graben - ready4green,Graben,DE,51.1242,10.8984,,,,,
['Nextbike GmbH'],/v2/networks/oleski-rower-miejski-olesno,oleski-rower-miejski-olesno,Oleski Rower Miejski Poland,Olesno,PL,50.8773,18.4212,,,,,
['Nextbike GmbH'],/v2/networks/styr-staell-goeteborg,styr-staell-goeteborg,"Styr & Ställ (Sweden, Göteborg)",Göteborg,SE,57.6902,11.9881,,,,,
['Nextbike GmbH'],/v2/networks/nibelungen-bike-braunschweig,nibelungen-bike-braunschweig,Nibelungen-Bike,Braunschweig,DE,52.2597,10.5307,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-brno,nextbike-brno,nextbike Brno,Brno,CZ,49.1911,16.6148,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-brno-kurim,nextbike-brno-kurim,nextbike Brno,Kuřim,CZ,49.2994,16.5368,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-praha,nextbike-praha,nextbike Praha,Praha,CZ,50.0592,14.5761,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-praha-ricany,nextbike-praha-ricany,nextbike Praha,Říčany,CZ,49.9976,14.6685,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-olomouc,nextbike-olomouc,nextbike Olomouc,Olomouc,CZ,49.5929,17.2459,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-kladno,nextbike-kladno,nextbike Kladno,Kladno,CZ,50.1435,14.1082,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-opava,nextbike-opava,nextbike Opava,Opava,CZ,49.9289,18.2634,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-bielefeld,nextbike-bielefeld,meinSiggi,Bielefeld,DE,52.0257,8.53286,,,,,
['Nextbike GmbH'],/v2/networks/yoy-san-luis-potosi,yoy-san-luis-potosi,YOY - San Luis Potosi,San Luis Potosi,MX,22.438,-100.514,,,,,
['Nextbike GmbH'],/v2/networks/yoy-san-luis-potosi-cancun,yoy-san-luis-potosi-cancun,YOY - San Luis Potosi,Cancún,MX,21.1675,-86.8498,,,,,
['Nextbike GmbH'],/v2/networks/bergisches-e-bike,bergisches-e-bike,Bergisches e-Bike,Bergisches e-Bike,DE,51.0192,7.18025,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-pardubice,nextbike-pardubice,nextbike Pardubice,Pardubice,CZ,50.0343,15.7812,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-hradec-kralove,nextbike-hradec-kralove,nextbike Hradec Králové,Hradec Králové,CZ,50.2079,15.8334,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-mladoboleslavsko-mlada-boleslav,nextbike-mladoboleslavsko-mlada-boleslav,nextbike Mladoboleslavsko,Mladá Boleslav,CZ,50.4278,14.8999,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-mladoboleslavsko-mnichovo-hradiste,nextbike-mladoboleslavsko-mnichovo-hradiste,nextbike Mladoboleslavsko,Mnichovo Hradiště,CZ,50.5218,14.9741,,,,,
['Nextbike GmbH'],/v2/networks/oeynrad-bad-oeynhausen,oeynrad-bad-oeynhausen,Oeynrad,Bad Oeynhausen,DE,52.2051,8.80074,,,,,
['Nextbike GmbH'],/v2/networks/rsvg-bike,rsvg-bike,RSVG-Bike,RSVG,DE,50.7669,7.37457,,,,,
